"ID","COUNT","Red","Green","Blue","NLCD.2006.Land.Cover.Class","Opacity"
"1",0,7854240512,0,0,0,"Unclassified",255
"2",1,0,0,249,0,"",255
"3",2,0,0,0,0,"",255
"4",3,0,0,0,0,"",255
"5",4,0,0,0,0,"",255
"6",5,0,0,0,0,"",255
"7",6,0,0,0,0,"",255
"8",7,0,0,0,0,"",255
"9",8,0,0,0,0,"",255
"10",9,0,0,0,0,"",255
"11",10,0,0,0,0,"",255
"12",11,464633299,71,107,160,"Open Water",255
"13",12,1599134,209,221,249,"Perennial Snow/Ice",255
"14",13,0,0,0,0,"",255
"15",14,0,0,0,0,"",255
"16",15,0,0,0,0,"",255
"17",16,0,0,0,0,"",255
"18",17,0,0,0,0,"",255
"19",18,0,0,0,0,"",255
"20",19,0,0,0,0,"",255
"21",20,0,0,0,0,"",255
"22",21,291339822,221,201,201,"Developed, Open Space",255
"23",22,129691655,216,147,130,"Developed, Low Intensity",255
"24",23,55447186,237,0,0,"Developed, Medium Intensity",255
"25",24,19812608,170,0,0,"Developed, High Intensity",255
"26",25,0,0,0,0,"",255
"27",26,0,0,0,0,"",255
"28",27,0,0,0,0,"",255
"29",28,0,0,0,0,"",255
"30",29,0,0,0,0,"",255
"31",30,0,0,0,0,"",255
"32",31,109877087,178,173,163,"Barren Land",255
"33",32,0,249,249,249,"",255
"34",33,0,0,0,0,"",255
"35",34,0,0,0,0,"",255
"36",35,0,0,0,0,"",255
"37",36,0,0,0,0,"",255
"38",37,0,0,0,0,"",255
"39",38,0,0,0,0,"",255
"40",39,0,0,0,0,"",255
"41",40,0,0,0,0,"",255
"42",41,985274922,104,170,99,"Deciduous Forest",255
"43",42,1060742509,28,99,48,"Evergreen Forest",255
"44",43,185907006,181,201,142,"Mixed Forest",255
"45",44,0,0,0,0,"",255
"46",45,0,0,0,0,"",255
"47",46,0,0,0,0,"",255
"48",47,0,0,0,0,"",255
"49",48,0,0,0,0,"",255
"50",49,0,0,0,0,"",255
"51",50,0,0,0,0,"",255
"52",51,0,165,140,48,"",255
"53",52,1920743186,204,186,124,"Shrub/Scrub",255
"54",53,0,0,0,0,"",255
"55",54,0,0,0,0,"",255
"56",55,0,0,0,0,"",255
"57",56,0,0,0,0,"",255
"58",57,0,0,0,0,"",255
"59",58,0,0,0,0,"",255
"60",59,0,0,0,0,"",255
"61",60,0,0,0,0,"",255
"62",61,0,0,0,0,"",255
"63",62,0,0,0,0,"",255
"64",63,0,0,0,0,"",255
"65",64,0,0,0,0,"",255
"66",65,0,0,0,0,"",255
"67",66,0,0,0,0,"",255
"68",67,0,0,0,0,"",255
"69",68,0,0,0,0,"",255
"70",69,0,0,0,0,"",255
"71",70,0,0,0,0,"",255
"72",71,1295844501,226,226,193,"Herbaceuous",255
"73",72,0,201,201,119,"",255
"74",73,0,153,193,71,"",255
"75",74,0,119,173,147,"",255
"76",75,0,0,0,0,"",255
"77",76,0,0,0,0,"",255
"78",77,0,0,0,0,"",255
"79",78,0,0,0,0,"",255
"80",79,0,0,0,0,"",255
"81",80,0,0,0,0,"",255
"82",81,600961504,219,216,61,"Hay/Pasture",255
"83",82,1391445001,170,112,40,"Cultivated Crops",255
"84",83,0,0,0,0,"",255
"85",84,0,0,0,0,"",255
"86",85,0,0,0,0,"",255
"87",86,0,0,0,0,"",255
"88",87,0,0,0,0,"",255
"89",88,0,0,0,0,"",255
"90",89,0,0,0,0,"",255
"91",90,350042081,186,216,234,"Woody Wetlands",255
"92",91,0,181,211,229,"",255
"93",92,0,181,211,229,"",255
"94",93,0,181,211,229,"",255
"95",94,0,181,211,229,"",255
"96",95,114502547,112,163,186,"Emergent Herbaceuous Wetlands",255
"97",96,0,0,0,0,"",0
"98",97,0,0,0,0,"",0
"99",98,0,0,0,0,"",0
"100",99,0,0,0,0,"",0
"101",100,0,0,0,0,"",0
"102",101,0,0,0,0,"",0
"103",102,0,0,0,0,"",0
"104",103,0,0,0,0,"",0
"105",104,0,0,0,0,"",0
"106",105,0,0,0,0,"",0
"107",106,0,0,0,0,"",0
"108",107,0,0,0,0,"",0
"109",108,0,0,0,0,"",0
"110",109,0,0,0,0,"",0
"111",110,0,0,0,0,"",0
"112",111,0,0,0,0,"",0
"113",112,0,0,0,0,"",0
"114",113,0,0,0,0,"",0
"115",114,0,0,0,0,"",0
"116",115,0,0,0,0,"",0
"117",116,0,0,0,0,"",0
"118",117,0,0,0,0,"",0
"119",118,0,0,0,0,"",0
"120",119,0,0,0,0,"",0
"121",120,0,0,0,0,"",0
"122",121,0,0,0,0,"",0
"123",122,0,0,0,0,"",0
"124",123,0,0,0,0,"",0
"125",124,0,0,0,0,"",0
"126",125,0,0,0,0,"",0
"127",126,0,0,0,0,"",0
"128",127,0,0,0,0,"",0
"129",128,0,0,0,0,"",0
"130",129,0,0,0,0,"",0
"131",130,0,0,0,0,"",0
"132",131,0,0,0,0,"",0
"133",132,0,0,0,0,"",0
"134",133,0,0,0,0,"",0
"135",134,0,0,0,0,"",0
"136",135,0,0,0,0,"",0
"137",136,0,0,0,0,"",0
"138",137,0,0,0,0,"",0
"139",138,0,0,0,0,"",0
"140",139,0,0,0,0,"",0
"141",140,0,0,0,0,"",0
"142",141,0,0,0,0,"",0
"143",142,0,0,0,0,"",0
"144",143,0,0,0,0,"",0
"145",144,0,0,0,0,"",0
"146",145,0,0,0,0,"",0
"147",146,0,0,0,0,"",0
"148",147,0,0,0,0,"",0
"149",148,0,0,0,0,"",0
"150",149,0,0,0,0,"",0
"151",150,0,0,0,0,"",0
"152",151,0,0,0,0,"",0
"153",152,0,0,0,0,"",0
"154",153,0,0,0,0,"",0
"155",154,0,0,0,0,"",0
"156",155,0,0,0,0,"",0
"157",156,0,0,0,0,"",0
"158",157,0,0,0,0,"",0
"159",158,0,0,0,0,"",0
"160",159,0,0,0,0,"",0
"161",160,0,0,0,0,"",0
"162",161,0,0,0,0,"",0
"163",162,0,0,0,0,"",0
"164",163,0,0,0,0,"",0
"165",164,0,0,0,0,"",0
"166",165,0,0,0,0,"",0
"167",166,0,0,0,0,"",0
"168",167,0,0,0,0,"",0
"169",168,0,0,0,0,"",0
"170",169,0,0,0,0,"",0
"171",170,0,0,0,0,"",0
"172",171,0,0,0,0,"",0
"173",172,0,0,0,0,"",0
"174",173,0,0,0,0,"",0
"175",174,0,0,0,0,"",0
"176",175,0,0,0,0,"",0
"177",176,0,0,0,0,"",0
"178",177,0,0,0,0,"",0
"179",178,0,0,0,0,"",0
"180",179,0,0,0,0,"",0
"181",180,0,0,0,0,"",0
"182",181,0,0,0,0,"",0
"183",182,0,0,0,0,"",0
"184",183,0,0,0,0,"",0
"185",184,0,0,0,0,"",0
"186",185,0,0,0,0,"",0
"187",186,0,0,0,0,"",0
"188",187,0,0,0,0,"",0
"189",188,0,0,0,0,"",0
"190",189,0,0,0,0,"",0
"191",190,0,0,0,0,"",0
"192",191,0,0,0,0,"",0
"193",192,0,0,0,0,"",0
"194",193,0,0,0,0,"",0
"195",194,0,0,0,0,"",0
"196",195,0,0,0,0,"",0
"197",196,0,0,0,0,"",0
"198",197,0,0,0,0,"",0
"199",198,0,0,0,0,"",0
"200",199,0,0,0,0,"",0
"201",200,0,0,0,0,"",0
"202",201,0,0,0,0,"",0
"203",202,0,0,0,0,"",0
"204",203,0,0,0,0,"",0
"205",204,0,0,0,0,"",0
"206",205,0,0,0,0,"",0
"207",206,0,0,0,0,"",0
"208",207,0,0,0,0,"",0
"209",208,0,0,0,0,"",0
"210",209,0,0,0,0,"",0
"211",210,0,0,0,0,"",0
"212",211,0,0,0,0,"",0
"213",212,0,0,0,0,"",0
"214",213,0,0,0,0,"",0
"215",214,0,0,0,0,"",0
"216",215,0,0,0,0,"",0
"217",216,0,0,0,0,"",0
"218",217,0,0,0,0,"",0
"219",218,0,0,0,0,"",0
"220",219,0,0,0,0,"",0
"221",220,0,0,0,0,"",0
"222",221,0,0,0,0,"",0
"223",222,0,0,0,0,"",0
"224",223,0,0,0,0,"",0
"225",224,0,0,0,0,"",0
"226",225,0,0,0,0,"",0
"227",226,0,0,0,0,"",0
"228",227,0,0,0,0,"",0
"229",228,0,0,0,0,"",0
"230",229,0,0,0,0,"",0
"231",230,0,0,0,0,"",0
"232",231,0,0,0,0,"",0
"233",232,0,0,0,0,"",0
"234",233,0,0,0,0,"",0
"235",234,0,0,0,0,"",0
"236",235,0,0,0,0,"",0
"237",236,0,0,0,0,"",0
"238",237,0,0,0,0,"",0
"239",238,0,0,0,0,"",0
"240",239,0,0,0,0,"",0
"241",240,0,0,0,0,"",0
"242",241,0,0,0,0,"",0
"243",242,0,0,0,0,"",0
"244",243,0,0,0,0,"",0
"245",244,0,0,0,0,"",0
"246",245,0,0,0,0,"",0
"247",246,0,0,0,0,"",0
"248",247,0,0,0,0,"",0
"249",248,0,0,0,0,"",0
"250",249,0,0,0,0,"",0
"251",250,0,0,0,0,"",0
"252",251,0,0,0,0,"",0
"253",252,0,0,0,0,"",0
"254",253,0,0,0,0,"",0
"255",254,0,0,0,0,"",0
"256",255,0,0,0,0,"",0
